Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Toyota Vitz F 1.0,Karachi,2070000.0,2008,145076.0,Petrol,1000 cc,Automatic
Daihatsu Esse X,Karachi,1670000.0,2011,108922.0,Petrol,660 cc,Automatic
Toyota Passo X S,Karachi,3500000.0,2020,46980.0,Petrol,1000 cc,Automatic
Suzuki Cultus EURO II,Karachi,1500000.0,2014,27886.0,Petrol,1000 cc,Manual
Chery Tiggo 8 Pro 1.6 DEX Plus,Karachi,7800000.0,2023,47080.0,Petrol,1600 cc,Automatic
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,2630000.0,2012,130000.0,Petrol,1300 cc,Automatic
Daihatsu Move L SA 3,Karachi,3525000.0,2020,48720.0,Petrol,658 cc,Automatic
DFSK Glory 580 1.5 CVT,Karachi,4400000.0,2021,46231.0,Petrol,1500 cc,Automatic
Suzuki Baleno JXR,Karachi,950000.0,2003,137500.0,Petrol,1300 cc,Manual
Honda BR-V i-VTEC S,Karachi,3975000.0,2018,90000.0,Petrol,1500 cc,Automatic
DFSK Glory 580 1.5 CVT,Karachi,4400000.0,2021,71560.0,Petrol,1500 cc,Automatic
Honda Vezel Hybrid Z,Karachi,3950000.0,2015,88000.0,Hybrid,1500 cc,Automatic
Subaru Sambar,Karachi,1500000.0,2013,96353.0,Petrol,660 cc,Automatic
Suzuki Cultus Auto Gear Shift,Karachi,2550000.0,2019,75000.0,Petrol,1000 cc,Automatic
Toyota Land Cruiser ZX,Karachi,36800000.0,2015,72500.0,Petrol,4600 cc,Automatic
Honda City i-DSI,Karachi,1750000.0,2008,310558.0,Petrol,1300 cc,Manual
Suzuki Alto VXL AGS,Karachi,2400000.0,2020,45000.0,Petrol,660 cc,Automatic
Suzuki Alto VXR,Karachi,2800000.0,2024,7000.0,Petrol,660 cc,Manual
Honda Spike,Karachi,3300000.0,2012,133000.0,Hybrid,1500 cc,Automatic
Nissan Dayz S,Karachi,3450000.0,2021,36036.0,Petrol,660 cc,Automatic
Suzuki Wagon R AGS,Karachi,3450000.0,2023,38364.0,Petrol,1000 cc,Automatic
Daihatsu Mira X Memorial Edition,Karachi,2375000.0,2014,79000.0,Petrol,660 cc,Automatic
Toyota Vitz F 1.0,Karachi,3890000.0,2017,103000.0,Petrol,996 cc,Automatic
Daihatsu Mira L,Karachi,2250000.0,2014,134000.0,Petrol,660 cc,Automatic
Suzuki Alto Hybrid S,Karachi,3450000.0,2023,5500.0,Hybrid,660 cc,Automatic
Suzuki Every PC,Karachi,1820000.0,2014,74120.0,Petrol,660 cc,Manual
Suzuki Swift GLX CVT,Karachi,4600000.0,2022,3900.0,Petrol,1200 cc,Automatic
Toyota Corolla Altis Automatic 1.6,Karachi,4900000.0,2019,69707.0,Petrol,1600 cc,Automatic
Toyota Passo X V Package,Karachi,1825000.0,2006,89000.0,Petrol,1000 cc,Automatic
Prince Pearl MT,Karachi,1475000.0,2024,5900.0,Petrol,800 cc,Manual
MG HS Essence,Karachi,7350000.0,2024,15784.0,Petrol,1500 cc,Automatic
Toyota Corolla Altis Grande CVT-i 1.8,Karachi,4790000.0,2018,58000.0,Petrol,1800 cc,Automatic
Toyota Prius G Touring Selection 1.5,Karachi,2575000.0,2008,178000.0,Hybrid,1500 cc,Automatic
Honda BR-V i-VTEC S,Karachi,4950000.0,2020,35251.0,Petrol,1500 cc,Automatic
Suzuki Cultus VXL,Karachi,2825000.0,2019,55000.0,Petrol,1000 cc,Manual
Daihatsu Cuore CX,Karachi,570000.0,2004,180000.0,Petrol,800 cc,Manual
Nissan Dayz Highway Star G,Karachi,2175000.0,2013,80000.0,Petrol,660 cc,Automatic
Suzuki Cultus VXRi,Karachi,1275000.0,2011,88000.0,Petrol,1000 cc,Manual
Daihatsu Cuore CX Automatic,Karachi,800000.0,2005,176000.0,Petrol,800 cc,Automatic
Honda BR-V i-VTEC S,Karachi,4500000.0,2019,77464.0,Petrol,1500 cc,Automatic
Nissan Note MEDALIST,Karachi,4350000.0,2018,50600.0,Hybrid,1198 cc,Automatic
Suzuki Swift DX 1.3,Karachi,1750000.0,2013,141250.0,Petrol,1300 cc,Manual
Suzuki Alto VXL AGS,Karachi,2960000.0,2024,20593.0,Petrol,660 cc,Automatic
Hyundai Sonata 2.0,Karachi,8050000.0,2022,30136.0,Petrol,2000 cc,Automatic
Toyota Raize Z,Karachi,6050000.0,2021,20000.0,Petrol,1000 cc,Automatic
